A|Yes,|fo_o_fw_"_by_bc|2040
A|um, I was wondering whether you were in favor of statehood, independence, or the status quo for Puerto Rico.|qy|2040
B|I was a resident, although very young of the of what is now the state of Alaska in nineteen fifty-nine when Alaska stopped being a territory and became a state.|sd|2040
B|Uh, so I guess I have a left over positive feeling about the question even though I don't know very much about Puerto Rico.|sd|2040
B|Uh, I know that all the things that happened, relative to that territory in Alaska have been very positive, uh,|sd|2040
B|and I have a suspicion that, that I believe that a, the statehood is a good idea whenever you have a territory the size of Puerto Rico one ought either to make it a full-fledged state or, or let it go, one or the other.|sv|2040
B|What is your situation?|qo|2040
A|Well, I'm, I guess I don't have such close experience with, with, um, an area becoming a state as you do.|sd|2040
A|Um, my concern is the economy because as I understand it Puerto Rico has a very low uh, standard of living or at least, um, annual average income.|sv|2040
A|Um, part of this I suppose is justified in, in that the climate they don't need, perhaps, the heating and the housing that some of the more northern territories need.|sv|2040
A|However, in that case, I guess I would favor status quo.|sv|2040
A|I have been to Puerto Rico and, and found it very, very interesting.|sd|2040
A|I did Peace Corps training there.|sd|2040
B|Oh that's very interesting.|ba|2040
A|And so, um, you know, I saw it, also as a young student|sd|2040
A|and, and it was very foreign in a certain sense, although I had grown up in California|sd|2040
A|and so the Spanish was no problem.|sd|2040
A|Um, it was, it was, you know, very lovely|sd|2040
A|and, and the people seemed very friendly and, and nice.|sd|2040
A|I have,|sd|2040
A|actually, I work with, uh, a girl from Puerto Rico|sd|2040
A|and, I guess I have never thought to ask her what she favors, um.|sd|2040
B|Your concern on the economy was one in terms of, if it became a state would that put even more pressures on, on Puerto Rico, or pressures on the U. S. in terms of aid|qy|2040
B|or,|%|2040
A|Well probably more on, in terms of the U. S. Um,|sv|2040
A|you know, I'm, I'm not quite sure how the U. S. copes with this sort of thing.|sd|2040
A|I've live abroad most of my life,|sd|2040
A|so, I guess I, I've been very cut off.|sd|2040
A|I lived actually in Lebanon,|sd|2040
A|so, I was very cut off from the, the press as I, you know, and be, was becoming an adult.|sd|2040
A|So, I don't know how the U. S. would cope with, uh, a new state that is so very, very poor.|sd|2040
B|Uh-huh.|b|2040
